Date,index_value
2015-01-02,1.0
2015-01-05,0.9972216444768708
2015-01-07,0.972456340327004
2015-01-08,0.9973247383267797
2015-01-09,0.9890825914420633
2015-01-12,0.9946968519881024
2015-01-13,1.0010008671803174
2015-01-14,0.972810256772015
2015-01-15,0.9859575018904906
2015-01-16,0.9898230989682253
2015-01-19,0.9954834603214857
2015-01-20,1.0065563457691775
2015-01-21,1.0158012095397628
2015-01-22,1.0318734222666643
2015-01-23,1.040009974651378
2015-01-26,1.0528808290875933
2015-01-27,1.037187853953775
2015-01-28,1.0620032451581007
2015-01-29,1.066280657057206
2015-01-30,1.0727097351540225
2015-02-02,1.073678581891517
2015-02-03,1.0871441080539657
2015-02-04,1.0810650423192487
2015-02-05,1.0892362604331156
2015-02-06,1.1015503483641418
2015-02-09,1.0984781986990582
2015-02-10,1.1015127211856426
2015-02-11,1.0950539093223552
2015-02-12,1.1233059880701401
2015-02-13,1.1368010336337935
2015-02-16,1.1379980297783963
2015-02-17,1.1275960064827553
2015-02-18,1.1430058513553196
2015-02-19,1.1473873221742799
2015-02-20,1.148303365093136
2015-02-23,1.1576358612461926
2015-02-24,1.1622402388607593
2015-02-25,1.1603904479469367
2015-02-26,1.1648763346877626
2015-02-27,1.167633429111213
2015-03-02,1.1606009999426525
2015-03-03,1.1405019237198475
2015-03-04,1.1355633672558472
2015-03-05,1.1423572849483332
2015-03-06,1.139426488435771
2015-03-09,1.1385639194082724
2015-03-10,1.125498401477748
2015-03-11,1.1424751895092244
2015-03-12,1.1445124289389392
2015-03-13,1.148837466652093
2015-03-16,1.1614822293885916
2015-03-17,1.1525084417950222
2015-03-18,1.1724589936347654
2015-03-19,1.1760819494705888
2015-03-20,1.1774196465608444
2015-03-23,1.1668365442908415
2015-03-24,1.1731421738532413
2015-03-25,1.167963779701703
2015-03-26,1.1596630791974338
2015-03-27,1.1601925692866206
2015-03-30,1.1777037704266708
2015-03-31,1.1680352816193718
2015-04-01,1.168498693054582
2015-04-02,1.176011719105955
2015-04-07,1.1920292378347241
2015-04-08,1.1854979838686508
2015-04-09,1.1957621260886309
2015-04-10,1.1997036029487476
2015-04-13,1.2031499252227402
2015-04-14,1.209197893515636
2015-04-15,1.220778981319502
2015-04-16,1.2155909217470175
2015-04-17,1.1860467051072707
2015-04-20,1.2002732673034164
2015-04-21,1.2139450756338104
2015-04-22,1.223592464493715
2015-04-23,1.2116237294758978
2015-04-24,1.2216839355861377
2015-04-27,1.2400932095018926
2015-04-28,1.21122782545858
2015-04-29,1.1758114067158252
2015-04-30,1.1790336260167482
2015-05-04,1.1845394453697538
2015-05-05,1.1594112884011296
2015-05-06,1.15071365820937
2015-05-07,1.156121777413086
2015-05-08,1.175958360681425
2015-05-11,1.1830572264867745
2015-05-12,1.171355705391236
2015-05-13,1.1886159943057397
2015-05-15,1.1868043942197508
2015-05-18,1.1916175563726779
2015-05-19,1.201338780070051
2015-05-20,1.2040035645623994
2015-05-21,1.2086586297002027
2015-05-22,1.2127031871812382
2015-05-25,1.2134216257405932
2015-05-26,1.202815070679291
2015-05-27,1.2196608202997956
2015-05-28,1.220297624082084
2015-05-29,1.2040344000337904
2015-06-01,1.203804544018531
2015-06-02,1.1989204757066823
2015-06-03,1.2000446468615902
2015-06-04,1.1858153746502977
2015-06-05,1.1711170965797162
2015-06-08,1.1579690549228663
2015-06-09,1.1562583855937698
2015-06-10,1.1711704068409574
2015-06-11,1.1694576358921414
2015-06-12,1.1642319607677667
2015-06-15,1.1386056378902147
2015-06-16,1.1499824770437286
2015-06-17,1.1380665575140592
2015-06-18,1.1356237412025494
2015-06-22,1.1619245442068686
2015-06-23,1.171233671873106
2015-06-24,1.1623623561117697
2015-06-25,1.1587560076241767
2015-06-26,1.162745797162611
2015-06-29,1.1325044388224013
2015-06-30,1.1207128309940482
2015-07-01,1.1439286721167121
2015-07-02,1.1349230556152345
2015-07-03,1.131026231234785
2015-07-06,1.1098571865019309
2015-07-07,1.0981144190971857
2015-07-08,1.1008100815954436
2015-07-09,1.1216749793676888
2015-07-10,1.1491956334085078
2015-07-13,1.1682320540407527
2015-07-14,1.1670682841629283
2015-07-15,1.150359863991038
2015-07-16,1.181020305104109
2015-07-17,1.1829484718097645
2015-07-20,1.19953958216881
2015-07-21,1.1906215430310387
2015-07-22,1.1746144515305266
2015-07-23,1.1733912628914764
2015-07-24,1.1667341617029525
2015-07-27,1.1403568782403304
2015-07-28,1.1471089280900857
2015-07-29,1.1530049678865448
2015-07-30,1.1586446654803033
2015-07-31,1.1669712734961648
2015-08-03,1.1693517568175966
2015-08-04,1.1651082628529148
2015-08-05,1.180953300786486
2015-08-06,1.179836117507111
2015-08-07,1.1737978796836848
2015-08-10,1.1956967631103743
2015-08-11,1.183125270931967
2015-08-12,1.1543896510497866
2015-08-13,1.1710303312238566
2015-08-14,1.1696858000679564
2015-08-17,1.1734280840879825
2015-08-18,1.1675023921645642
2015-08-19,1.1449746547626913
2015-08-20,1.1319174374840977
2015-08-21,1.100575071164145
2015-08-24,1.0494681689619407
2015-08-25,1.0856204115369843
2015-08-26,1.0740610506087276
2015-08-27,1.1244422720785059
2015-08-28,1.1370256149530578
2015-08-31,1.1360295402064193
2015-09-01,1.1144203869202642
2015-09-02,1.1147169811219118
2015-09-03,1.1412411714221906
2015-09-04,1.1136115473988655
2015-09-07,1.131809332566074
2015-09-08,1.140955071285566
2015-09-09,1.1514865562193148
2015-09-10,1.1382447528857573
2015-09-11,1.1351598094202673
2015-09-14,1.1182596794342528
2015-09-15,1.1193896479526098
